,Nombre_prod,Cantidad_prod,Precio_prod
0,LONCHERA RAMO 186 G 7 UND,"186 g (g a $ 24,46)",$ 4.550
1,SALSA MAÍZ DULCE ZEV 200GR,"200 g (g a $ 11,95)",$ 2.390
2,SALSA CREMA AHUMADA ZEV 200GR,"200 g (g a $ 12,45)",$ 2.490
3,GALLETA OREO 6 PQ 216 G,"216 g (g a $ 18,01)",$ 3.890
4,CEREZAS MARRASCHINO AINOA 125 G,"75 g (g a $ 58,53)",$ 4.390
5,BARQUILLO RELLENO NIRVANA,"25 g (g a $ 55,6)",$ 1.390
6,ALMENDRAS CON CHOCOLATE CHALET 100G,"100 g (g a $ 49,9)",$ 4.990
7,PASABOCAS DE MAÍZ Y QUINUA NATRI X 6UND,"102 g (g a $ 42,06)",$ 4.290
8,LONCHERA SURTIDA NATRI 5UN 225G,"225 g (g a $ 33,29)",$ 7.490
9,SALCHICHA ALEMANA CASABLANCA 250 G,"250 g (g a $ 31,96)",$ 7.990
10,SALCHICHA BERLINESA CASABLANCA 250 G,"250 g (g a $ 31,96)",$ 7.990
11,HAMBURGUESA RANCHERA 400 G,"400 g (g a $ 36,98)",$ 14.790
12,SALSA PARA HELADO KULFI 200G,"200 g (g a $ 11,95)",$ 2.390
13,ATÚN EN ACEITE CARLO FORTE 170 G NETO,"110 g (g a $ 40,82)",$ 4.490
14,ATÚN A.OLIVA CARLO FORTE 160 G NETO,"104 g (g a $ 61,44)",$ 6.390
15,ATÚN EN AGUA CARLO FORTE 170 G NETO,"110 g (g a $ 39,91)",$ 4.390
16,BARQUILLOS SURTIDOS NUZART 145 GR,"145 g (g a $ 34,41)",$ 4.990
17,LONCHERA SUBMARINOS SURTIDOS 206 G,"206 g (g a $ 18,4)",$ 3.790
18,PAN VITAL FRUTICEREAL 500 G,"500 g (g a $ 17,38)",$ 8.690
19,CHICHARRÓN DE CERDO DON CHICHARRÓN 35G,"35 un (un a $ 99,71)",$ 3.490
20,SALSAS MEXICANAS SURTIDAS 210G,"210 g (g a $ 17,57)",$ 3.690
21,TRIDENT YERBABUENA 12S,30 g (g a $ 105),$ 3.150
22,"TRIDENT MORAZUL 5S 8,5G","8 g (g a $ 143,75)",$ 1.150
23,TABLETA CHOCOLATE MORA MONTBLANC 60G,"60 g (g a $ 58,17)",$ 3.490
24,ACEITE VEGETAL GOTA DE ORO 900 ML,"900 ml (ml a $ 10,77)",$ 9.690
25,ACEITE GIRASOL GOTA DE ORO 900 ML,"900 ml (ml a $ 14,32)",$ 12.890
26,CHIPS DE VEGETALES NATRI 50 GR,"50 g (g a $ 49,8)",$ 2.490
27,MINICHOCOTAJADA CASA 12 UND 240 G,"240 g (g a $ 18,13)",$ 4.350
28,TAJADA SURTIDA CASA 5 UND 300 G,"300 g (g a $ 13,3)",$ 3.990
29,PAN TAJADO BRIOCHE HORNEADITOS 380 G,"380 g (g a $ 16,82)",$ 6.390
30,MINI WAFER BRIDGE 17.2 G,"17 g (g a $ 40,59)",$ 690
31,FRÍJO RADICAL GRANIPACK 500 G,"500 g (g a $ 8,58)",$ 4.290
32,ACEITE DE CANOLA DON OLIO 900 ML,"900 ml (ml a $ 15,43)",$ 13.890
33,AREPA DE YUCA MASMAÍ 4 UND - 240 G,"240 g (g a $ 15,38)",$ 3.690
34,AREPA EXTRAQUESO MASMAÍ 4 UND - 720 G,"720 g (g a $ 6,74)",$ 4.850
35,AREPA DE CHÓCOLO 5 UND MASMAÍ 400 GRS,"400 g (g a $ 6,38)",$ 2.550
36,AREPA DE QUESO 5 UND MASMAÍ 400 GRS,"400 g (g a $ 6,13)",$ 2.450
37,AREPA CON QUESO MOZZARELLA MASMAI 400 GRS...,"400 g (g a $ 9,97)",$ 3.990
38,AREPA DE MAÍZ BLANCO CON AVENA Y CHÍA MASMAÍ 5 ...,5 un (un a $ 798),$ 3.990
39,AREPA BLANCA MASMAÍ 5 UND - 400 G,"400 g (g a $ 2,98)",$ 1.190
40,AREPA AMARILLA MASMAÍ 5 UND - 400 G,"400 g (g a $ 2,98)",$ 1.190
41,AREPA MINITELA BLANCA MASMAI 10 UND - 500 G...,"500 g (g a $ 2,58)",$ 1.290
42,SALCHICHA RANCHERA X 131 G X 4 UD,"131 g (g a $ 34,27)",$ 4.490
43,JAMON PIETRAN ESTANDAR 167 GRS,"167 g (g a $ 33,23)",$ 5.550
44,COMBO TRADICIONAL VIANDE 900 GR,"900 g (g a $ 10,99)",$ 9.890
45,MORCILLA VIANDÉ 500 GRS,"500 g (g a $ 11,98)",$ 5.990
46,JAMÓN DE POLLO PREMIUM BRAKEL 250 G,"250 g (g a $ 23,16)",$ 5.790
47,COSTILLA DE CERDO AHUMADA BIG BOB 450 G,"450 g (g a $ 27,98)",$ 12.590
48,JAMÓN SERRANO LOURISIERRA 80 G,"80 g (g a $ 81,13)",$ 6.490
49,JAMON PERNIL CERDO PREMIUM VIANDÉ 250 G,"250 g (g a $ 29,2)",$ 7.300
