,Nombre,Precio,Cantidad,Unidades,,,,,,
0,AREPA DE YUCA MASMAÍ 4 UND - 240 G,3690,240,g,,,,,,
1,AREPA EXTRAQUESO MASMAÍ 4 UND - 720 G,4850,720,g,,,,,,
2,AREPA DE CHÓCOLO 5 UND MASMAÍ 400 GRS,2990,400,g,,,,,,
3,AREPA DE QUESO 5 UND MASMAÍ 400 GRS,2450,400,g,,,,,,
4,AREPA BLANCA MASMAÍ 5 UND - 400 G,1450,400,g,,,,,,
5,AREPA AMARILLA MASMAÍ 5 UND - 400 G,1450,400,g,,,,,,
6,AREPA MINITELA BLANCA MASMAI 10 UND - 500 G,1590,500,g,,,,,,
7,SALCHICHA RANCHERA X 131 G X 4 UD,5290,131,g,,,,,,
8,JAMON PIETRAN ESTANDAR 167 GRS,6790,167,g,,,,,,
9,COMBO TRADICIONAL VIANDE 900 GR,10690,900,g,,,,,,
10,MORCILLA VIANDÉ 500 GRS,6700,500,g,,,,,,
11,JAMÓN DE POLLO PREMIUM BRAKEL 250 G,5990,250,g,,,,,,
12,COSTILLA DE CERDO AHUMADA BIG BOB 450 G,13990,450,g,,,,,,
13,JAMÓN SERRANO LOURISIERRA 80 G,7450,80,g,,,,,,
14,SALCHICHÓN DE POLLO BRAKEL 500 G,5190,500,g,,,,,,
15,SALCHICHÓN CERVECERO VIANDÉ 500 G,7990,500,g,,,,,,
16,SALCHICHA TIPO PARRILLA BIG BOB 280 G,7450,280,g,,,,,,
17,SALCHICHA PERRO AMERICANA BIG BOB 430 G,8150,430,g,,,,,,
18,SALCHICHÓN TRADICIONAL VIANDÉ 500 G,4990,500,g,,,,,,
19,CHORIZO VELA + SALAMI LOURISIERRA 80 G,7450,80,g,,,,,,
20,CABANO VIANDE 68 GR X 4 UD,3550,68,g,,,,,,
21,CHORIZO CAMPESINO AHUMADO VIANDÉ 225 GRS,3850,225,g,,,,,,
22,CHORIZO TIPO TERNERA VIANDÉ 500 G,9990,500,g,,,,,,
23,CHORIZO SANTARROSANO VIANDÉ 225 G,4990,225,g,,,,,,
24,MORTADELA POLLO PREMIUM BRAKEL 250 G,3990,250,g,,,,,,
25,JAMÓN DE CERDO PREMIUM VIANDÉ 300 G,7250,300,g,,,,,,
